x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,index: 0,time:0.0-1.0
14.0,14.0,14.0,22.0,14.0,14.0,10.0,10.0,18.0,10.0,18.0,18.0,18.0,10.0,18.0,18.0,18.0,18.0,26.0,10.0,18.0,26.0,18.0,18.0
14.0,14.0,16.0,22.0,14.0,16.0,10.0,10.0,16.0,10.0,18.0,16.0,18.0,10.0,16.0,18.0,18.0,16.0,26.0,10.0,16.0,26.0,18.0,16.0

x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,index: 1,time:1.0-2.0
14.0,14.0,16.0,22.0,14.0,16.0,10.0,10.0,16.0,10.0,18.0,16.0,18.0,10.0,16.0,18.0,18.0,16.0,26.0,10.0,16.0,26.0,18.0,16.0
14.0,14.0,18.0,22.0,14.0,18.0,10.0,10.0,14.0,10.0,18.0,14.0,18.0,10.0,14.0,18.0,18.0,14.0,26.0,10.0,14.0,26.0,18.0,14.0

x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,index: 2,time:2.0-3.0
14.0,14.0,18.0,22.0,14.0,18.0,10.0,10.0,14.0,10.0,18.0,14.0,18.0,10.0,14.0,18.0,18.0,14.0,26.0,10.0,14.0,26.0,18.0,14.0
14.0,14.0,18.0,22.0,14.0,18.0,11.333333333333334,10.0,12.666666666666666,11.333333333333334,18.0,12.666666666666666,18.0,10.0,12.0,18.0,18.0,12.0,24.666666666666668,10.0,12.666666666666666,24.666666666666668,18.0,12.666666666666666

x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,index: 3,time:3.0-4.0
14.0,14.0,18.0,22.0,14.0,18.0,11.333333333333334,10.0,12.666666666666666,11.333333333333334,18.0,12.666666666666666,18.0,10.0,12.0,18.0,18.0,12.0,24.666666666666668,10.0,12.666666666666666,24.666666666666668,18.0,12.666666666666666
14.0,14.0,18.0,22.0,14.0,18.0,12.666666666666666,10.0,11.333333333333334,12.666666666666666,18.0,11.333333333333334,18.0,10.0,10.0,18.0,18.0,10.0,23.333333333333332,10.0,11.333333333333334,23.333333333333332,18.0,11.333333333333334

x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,index: 4,time:4.0-5.0
14.0,14.0,18.0,22.0,14.0,18.0,12.666666666666666,10.0,11.333333333333334,12.666666666666666,18.0,11.333333333333334,18.0,10.0,10.0,18.0,18.0,10.0,23.333333333333332,10.0,11.333333333333334,23.333333333333332,18.0,11.333333333333334
14.0,14.0,18.0,22.0,14.0,18.0,14.0,10.0,10.0,14.0,18.0,10.0,18.0,10.0,10.0,18.0,18.0,10.0,22.0,10.0,10.0,22.0,18.0,10.0

